// Mushroom dataset from UC-Irvine archive of machine learning datasets
// modified to remove some of the attributes specifically for this CS540 class
//
//classification: e=edible, p=poisonous
//
// attribute values:
//     1. cap-shape:                bell=b,conical=c,convex=x,flat=f,knobbed=k,sunken=s
//     2. cap-surface:              fibrous=f,grooves=g,scaly=y,smooth=s
//     3. cap-color:                brown=n,buff=b,cinnamon=c,gray=g,green=r,pink=p,purple=u,red=e,white=w,yellow=y
//     4. bruises?:                 bruises=t,no=f
//     5. odor:                     almond=a,anise=l,creosote=c,fishy=y,foul=f,musty=m,none=n,pungent=p,spicy=s
//     6. gill-attachment:          attached=a,descending=d,free=f,notched=n
//     7. gill-spacing:             close=c,crowded=w,distant=d
//     8. gill-size:                broad=b,narrow=n
//     9. gill-color:               black=k,brown=n,buff=b,chocolate=h,gray=g,green=r,orange=o,pink=p,purple=u,red=e,white=w,yellow=y
//    10. stalk-shape:              enlarging=e,tapering=t
//    11. stalk-root:               bulbous=b,club=c,cup=u,equal=e,rhizomorphs=z,rooted=r
//    12. stalk-surface-above-ring: ibrous=f,scaly=y,silky=k,smooth=s
//    13. stalk-surface-below-ring: ibrous=f,scaly=y,silky=k,smooth=s
//    14. stalk-color-above-ring:   brown=n,buff=b,cinnamon=c,gray=g,orange=o,pink=p,red=e,white=w,yellow=y
//    15. stalk-color-below-ring:   brown=n,buff=b,cinnamon=c,gray=g,orange=o,pink=p,red=e,white=w,yellow=y
//
Ex1001,e,x,f,g,t,n,f,c,b,n,t,b,s,s,p,p
Ex1002,e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w
Ex1003,e,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w
Ex1004,p,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w
Ex1005,e,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w
Ex1006,e,x,s,g,f,n,f,w,b,p,t,e,s,f,w,w
Ex1007,e,x,s,w,f,n,f,w,b,k,t,e,f,s,w,w
Ex1008,e,f,f,w,f,n,f,w,b,p,t,e,f,s,w,w
Ex1009,e,x,f,n,f,n,f,w,b,k,t,e,s,s,w,w
Ex1010,e,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w
Ex1011,e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w
Ex1012,e,x,s,w,f,n,f,w,b,k,t,e,s,s,w,w
Ex1013,e,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w
Ex1014,e,f,s,n,f,n,f,w,b,n,t,e,s,f,w,w
Ex1015,e,f,f,g,f,n,f,w,b,h,t,e,f,f,w,w
Ex1016,e,f,f,y,t,a,f,w,n,p,t,b,s,s,w,w
Ex1017,e,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w
Ex1018,e,x,f,n,t,n,f,c,b,p,t,b,s,s,p,w
Ex1019,p,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w
Ex1020,e,x,f,n,t,n,f,c,b,n,t,b,s,s,w,p
Ex1021,e,f,f,n,f,n,f,w,b,n,t,e,f,f,w,w
Ex1022,e,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w
Ex1023,e,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w
Ex1024,e,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w
Ex1025,p,f,y,w,t,p,f,c,n,n,e,e,s,s,w,w
Ex1026,p,f,y,w,t,p,f,c,n,p,e,e,s,s,w,w
Ex1027,e,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w
Ex1028,e,f,s,y,t,l,f,w,n,w,t,b,s,s,w,w
Ex1029,e,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w
Ex1030,e,x,s,w,f,n,f,w,b,k,t,e,s,s,w,w
